,precision,recall,f1,ttc
offenseFormation,0.0,0.0,0.0,
receiverAlignment,0.0,0.0,0.0,
dropbackType,0.5,0.5,0.5,
passLocationType,0.0,0.0,0.0,
pff_runConceptPrimary,0.5,0.5,0.5,
pff_runConceptSecondary,1.0,1.0,1.0,
pff_passCoverage,1.0,1.0,1.0,
pff_manZone,1.0,1.0,1.0,
routeRanQB0,1.0,1.0,1.0,
routeRanWR0,0.0,0.0,0.0,
routeRanWR1,0.0,0.0,0.0,
routeRanWR2,0.0,0.0,0.0,
routeRanWR3,1.0,1.0,1.0,
routeRanWR4,1.0,1.0,1.0,
routeRanRB0,0.0,0.0,0.0,
routeRanRB1,1.0,1.0,1.0,
routeRanRB2,1.0,1.0,1.0,
routeRanTE0,0.0,0.0,0.0,
routeRanTE1,1.0,1.0,1.0,
routeRanTE2,1.0,1.0,1.0,
